Comment,Designator,Footprint,LCSC,Quantity
LED,D102,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
220R,R18,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
LED,D38,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D65,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D63,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D48,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D46,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D66,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
220R,R11,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
LED,D20,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D19,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D9,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D71,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D100,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
Conn_01x04_Pin,J17,PinHeader_1x04_P2.54mm_Vertical,,1
Conn_01x03_Pin,J11,PinHeader_1x03_P2.54mm_Vertical,,1
220R,R7,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
220R,R31,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
220R,R29,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
220R,R8,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
LED,D55,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
~,KR7,Korry Switch,,1
220R,R36,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
LED,D87,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D59,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D58,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D97,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
220R,R33,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
LED,D22,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D81,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
220R,R37,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
220R,R17,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
220R,R9,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
LED,D17,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D11,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D64,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D54,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
220R,R4,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
~,KR8,Korry Switch,,1
220R,R35,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
Conn_01x04_Pin,J18,PinHeader_1x04_P2.54mm_Vertical,,1
LED,D94,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D10,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D27,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D93,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D52,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
Conn_01x04_Pin,J16,PinHeader_1x04_P2.54mm_Vertical,,1
LED,D8,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D112,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D111,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D41,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D12,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
Conn_01x04_Pin,J12,PinHeader_1x04_P2.54mm_Vertical,,1
LED,D116,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D108,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D43,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
220R,R21,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
LED,D67,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D32,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
Conn_01x04_Pin,J8,PinHeader_1x04_P2.54mm_Vertical,,1
~,KR4,Korry Switch,,1
LED,D77,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
220R,R12,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
Conn_01x04_Pin,J9,PinHeader_1x04_P2.54mm_Vertical,,1
Conn_01x03_Pin,J14,PinHeader_1x03_P2.54mm_Vertical,,1
LED,D30,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D84,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D33,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
220R,R39,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
220R,R3,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
Conn_01x04_Pin,J19,PinHeader_1x04_P2.54mm_Vertical,,1
LED,D69,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
220R,R6,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
Conn_01x03_Pin,J4,PinHeader_1x03_P2.54mm_Vertical,,1
LED,D61,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D115,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D50,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D6,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D35,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
Conn_01x04_Pin,J7,PinHeader_1x04_P2.54mm_Vertical,,1
220R,R20,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
~,KR1,Korry Switch,,1
Conn_01x03_Pin,J3,PinHeader_1x03_P2.54mm_Vertical,,1
LED,D75,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
LED,D110,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
220R,R23,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
~,KR5,Korry Switch,,1
LED,D23,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
220R,R13,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
LED,D96,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
220R,R30,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
LED,D53,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,,1
Conn_01x03_Pin,J20,TerminalBlock_bornier-3_P5.08mm,,1
Conn_02x20_Counter_Clockwise,J1,PinHeader_2x20_P2.54mm_Vertical,,1
Conn_02x20_Counter_Clockwise,J10,PinHeader_2x20_P2.54mm_Vertical,,1
Conn_02x01,J21,TerminalBlock_bornier-2_P5.08mm,,1
